B1:
recieved miner in round
     miner 3    :  810
     miner 0    :  810
     miner 1    :  810
     miner 4    :  810
     miner 5    :  810
     miner 6    :  810
     miner 7    :  810
     miner 8    :  810
     miner 9    :  810
     miner 2    :  811
B2:
recieved miner in round
     miner 0    :  1767
     miner 1    :  1767
     miner 3    :  1767
     miner 4    :  1767
     miner 6    :  1767
     miner 7    :  1767
     miner 8    :  1767
     miner 9    :  1767
     miner 2    :  1768
     miner 5    :  1768
B3:
recieved miner in round
     miner 4    :  2633
     miner 1    :  2633
     miner 2    :  2633
     miner 3    :  2633
     miner 5    :  2633
     miner 6    :  2633
     miner 7    :  2633
     miner 8    :  2633
     miner 9    :  2633
     miner 0    :  2634
B4:
recieved miner in round
     miner 4    :  3426
     miner 0    :  3426
     miner 1    :  3426
     miner 2    :  3426
     miner 3    :  3426
     miner 5    :  3426
     miner 6    :  3426
     miner 7    :  3426
     miner 8    :  3426
     miner 9    :  3426
B5:
recieved miner in round
     miner 8    :  4204
     miner 0    :  4204
     miner 1    :  4204
     miner 3    :  4204
     miner 4    :  4204
     miner 7    :  4204
     miner 9    :  4204
     miner 2    :  4205
     miner 5    :  4205
     miner 6    :  4205
B6:
recieved miner in round
     miner 6    :  4955
     miner 0    :  4955
     miner 1    :  4955
     miner 2    :  4955
     miner 7    :  4955
     miner 8    :  4955
     miner 9    :  4955
     miner 3    :  4956
     miner 4    :  4956
     miner 5    :  4956
B7:
recieved miner in round
     miner 0    :  5724
     miner 1    :  5724
     miner 2    :  5724
     miner 3    :  5724
     miner 4    :  5724
     miner 5    :  5724
     miner 6    :  5724
     miner 7    :  5724
     miner 8    :  5724
     miner 9    :  5724
B8:
recieved miner in round
     miner 0    :  6483
     miner 1    :  6483
     miner 2    :  6483
     miner 4    :  6483
     miner 5    :  6483
     miner 6    :  6483
     miner 7    :  6483
     miner 8    :  6483
     miner 3    :  6484
     miner 9    :  6484
B9:
recieved miner in round
     miner 5    :  7394
     miner 1    :  7394
     miner 2    :  7394
     miner 3    :  7394
     miner 6    :  7394
     miner 7    :  7394
     miner 8    :  7394
     miner 9    :  7394
     miner 0    :  7395
     miner 4    :  7395
B10:
recieved miner in round
     miner 9    :  8155
     miner 0    :  8155
     miner 1    :  8155
     miner 2    :  8155
     miner 3    :  8155
     miner 4    :  8155
     miner 5    :  8155
     miner 6    :  8155
     miner 8    :  8155
     miner 7    :  8156
B11:
recieved miner in round
     miner 1    :  8928
     miner 0    :  8928
     miner 3    :  8928
     miner 4    :  8928
     miner 5    :  8928
     miner 6    :  8928
     miner 7    :  8928
     miner 8    :  8928
     miner 9    :  8928
     miner 2    :  8929
B12:
recieved miner in round
     miner 0    :  9679
     miner 1    :  9679
     miner 2    :  9679
     miner 3    :  9679
     miner 4    :  9679
     miner 5    :  9679
     miner 7    :  9679
     miner 9    :  9679
     miner 6    :  9680
     miner 8    :  9680
B13:
recieved miner in round
     miner 7    :  10432
     miner 0    :  10432
     miner 1    :  10432
     miner 2    :  10432
     miner 3    :  10432
     miner 4    :  10432
     miner 6    :  10432
     miner 8    :  10432
     miner 9    :  10432
     miner 5    :  10433
B14:
recieved miner in round
     miner 1    :  11220
     miner 0    :  11220
     miner 2    :  11220
     miner 5    :  11220
     miner 6    :  11220
     miner 7    :  11220
     miner 8    :  11220
     miner 3    :  11221
     miner 4    :  11221
     miner 9    :  11221
B15:
recieved miner in round
     miner 7    :  12035
     miner 1    :  12035
     miner 2    :  12035
     miner 5    :  12035
     miner 6    :  12035
     miner 8    :  12035
     miner 9    :  12035
     miner 0    :  12036
     miner 3    :  12037
     miner 4    :  12037
B16:
recieved miner in round
     miner 6    :  12794
     miner 0    :  12794
     miner 2    :  12794
     miner 3    :  12794
     miner 4    :  12794
     miner 7    :  12794
     miner 8    :  12794
     miner 9    :  12794
     miner 1    :  12795
     miner 5    :  12795
B17:
recieved miner in round
     miner 2    :  13675
     miner 0    :  13675
     miner 1    :  13675
     miner 3    :  13675
     miner 4    :  13675
     miner 5    :  13675
     miner 6    :  13675
     miner 7    :  13675
     miner 8    :  13675
     miner 9    :  13675
B18:
recieved miner in round
     miner 6    :  14445
     miner 0    :  14445
     miner 2    :  14445
     miner 4    :  14445
     miner 5    :  14445
     miner 7    :  14445
     miner 8    :  14445
     miner 9    :  14445
     miner 3    :  14446
     miner 1    :  14447
B19:
recieved miner in round
     miner 6    :  15317
     miner 0    :  15317
     miner 2    :  15317
     miner 3    :  15317
     miner 4    :  15317
     miner 7    :  15317
     miner 8    :  15317
     miner 9    :  15317
     miner 1    :  15319
     miner 5    :  15319
B20:
