B1:
recieved miner in round
     miner 1    :  463
     miner 2    :  463
     miner 3    :  463
     miner 4    :  463
     miner 5    :  463
     miner 8    :  463
     miner 9    :  463
     miner 0    :  464
     miner 6    :  464
     miner 7    :  464
B2:
recieved miner in round
     miner 4    :  909
     miner 0    :  909
     miner 1    :  909
     miner 5    :  909
     miner 6    :  909
     miner 8    :  909
     miner 2    :  910
     miner 3    :  910
     miner 9    :  910
     miner 7    :  911
B3:
recieved miner in round
     miner 0    :  1361
     miner 1    :  1361
     miner 3    :  1361
     miner 4    :  1361
     miner 5    :  1361
     miner 6    :  1361
     miner 7    :  1361
     miner 2    :  1362
     miner 9    :  1362
     miner 8    :  1363
B4:
recieved miner in round
     miner 6    :  1794
     miner 0    :  1794
     miner 1    :  1794
     miner 2    :  1794
     miner 4    :  1794
     miner 5    :  1794
     miner 7    :  1794
     miner 8    :  1794
     miner 9    :  1794
     miner 3    :  1795
B6:
recieved miner in round
     miner 3    :  2214
     miner 0    :  2214
     miner 1    :  2214
     miner 2    :  2214
     miner 4    :  2214
     miner 5    :  2214
     miner 6    :  2214
     miner 7    :  2214
     miner 8    :  2214
     miner 9    :  2214
B5:
recieved miner in round
     miner 8    :  2213
     miner 1    :  2213
     miner 2    :  2213
     miner 5    :  2213
     miner 6    :  2213
     miner 7    :  2213
     miner 9    :  2213
     miner 0    :  2214
     miner 4    :  2214
     miner 3    :  2215
B7:
recieved miner in round
     miner 6    :  2640
     miner 0    :  2640
     miner 2    :  2640
     miner 3    :  2640
     miner 4    :  2640
     miner 5    :  2640
     miner 7    :  2640
     miner 8    :  2640
     miner 9    :  2640
     miner 1    :  2641
B8:
recieved miner in round
     miner 8    :  3058
     miner 0    :  3058
     miner 1    :  3058
     miner 2    :  3058
     miner 5    :  3058
     miner 6    :  3058
     miner 9    :  3058
     miner 4    :  3059
     miner 7    :  3059
     miner 3    :  3060
B9:
recieved miner in round
     miner 1    :  3505
     miner 0    :  3505
     miner 2    :  3505
     miner 3    :  3505
     miner 4    :  3505
     miner 5    :  3505
     miner 6    :  3505
     miner 7    :  3505
     miner 8    :  3505
     miner 9    :  3507
B10:
recieved miner in round
     miner 8    :  3932
     miner 0    :  3932
     miner 1    :  3932
     miner 2    :  3932
     miner 3    :  3932
     miner 4    :  3932
     miner 5    :  3932
     miner 6    :  3932
     miner 7    :  3932
     miner 9    :  3932
B11:
recieved miner in round
     miner 0    :  4349
     miner 1    :  4349
     miner 2    :  4349
