B1:
recieved miner in round
     miner 8    :  589
     miner 0    :  589
     miner 1    :  589
     miner 2    :  589
     miner 3    :  589
     miner 4    :  589
     miner 5    :  589
     miner 6    :  589
     miner 7    :  589
     miner 10   :  589
     miner 11   :  589
     miner 12   :  589
     miner 13   :  589
     miner 14   :  589
     miner 9    :  590
     miner 15   :  590
B2:
recieved miner in round
     miner 13   :  1174
     miner 0    :  1174
     miner 2    :  1174
     miner 4    :  1174
     miner 6    :  1174
     miner 7    :  1174
     miner 8    :  1174
     miner 9    :  1174
     miner 10   :  1174
     miner 11   :  1174
     miner 12   :  1174
     miner 15   :  1174
     miner 3    :  1175
     miner 5    :  1175
     miner 14   :  1175
     miner 1    :  1176
B3:
recieved miner in round
     miner 9    :  1840
     miner 0    :  1840
     miner 1    :  1840
     miner 2    :  1840
     miner 3    :  1840
     miner 4    :  1840
     miner 5    :  1840
     miner 6    :  1840
     miner 8    :  1840
     miner 10   :  1840
     miner 11   :  1840
     miner 13   :  1840
     miner 15   :  1840
     miner 7    :  1841
     miner 14   :  1841
     miner 12   :  1842
B4:
recieved miner in round
     miner 13   :  2426
     miner 0    :  2426
     miner 1    :  2426
     miner 2    :  2426
     miner 3    :  2426
     miner 4    :  2426
     miner 5    :  2426
     miner 6    :  2426
     miner 7    :  2426
     miner 8    :  2426
     miner 9    :  2426
     miner 10   :  2426
     miner 12   :  2426
     miner 14   :  2426
     miner 11   :  2427
     miner 15   :  2427
B5:
recieved miner in round
     miner 6    :  3013
     miner 0    :  3013
     miner 2    :  3013
     miner 4    :  3013
     miner 5    :  3013
     miner 7    :  3013
     miner 8    :  3013
     miner 9    :  3013
     miner 11   :  3013
     miner 12   :  3013
     miner 13   :  3013
     miner 3    :  3014
     miner 10   :  3014
     miner 14   :  3014
     miner 15   :  3014
     miner 1    :  3015
B6:
recieved miner in round
     miner 6    :  3660
     miner 0    :  3660
     miner 1    :  3660
     miner 2    :  3660
     miner 3    :  3660
     miner 4    :  3660
     miner 5    :  3660
     miner 7    :  3660
     miner 8    :  3660
     miner 9    :  3660
     miner 12   :  3660
     miner 13   :  3660
     miner 14   :  3660
     miner 15   :  3660
     miner 10   :  3661
     miner 11   :  3661
B7:
recieved miner in round
     miner 0    :  4245
     miner 1    :  4245
     miner 2    :  4245
     miner 3    :  4245
     miner 4    :  4245
     miner 5    :  4245
     miner 6    :  4245
     miner 7    :  4245
     miner 8    :  4245
     miner 9    :  4245
     miner 10   :  4245
     miner 11   :  4245
     miner 12   :  4245
     miner 13   :  4245
     miner 14   :  4245
     miner 15   :  4245
B8:
recieved miner in round
     miner 15   :  4854
     miner 1    :  4854
     miner 4    :  4854
     miner 5    :  4854
     miner 6    :  4854
     miner 8    :  4854
     miner 10   :  4854
     miner 11   :  4854
     miner 12   :  4854
     miner 13   :  4854
     miner 14   :  4854
     miner 2    :  4855
     miner 3    :  4855
     miner 7    :  4855
     miner 9    :  4855
     miner 0    :  4856
B9:
recieved miner in round
     miner 3    :  5511
     miner 0    :  5511
     miner 1    :  5511
     miner 2    :  5511
     miner 4    :  5511
     miner 6    :  5511
     miner 9    :  5511
     miner 11   :  5511
     miner 12   :  5511
     miner 13   :  5511
     miner 14   :  5511
     miner 15   :  5511
     miner 7    :  5512
     miner 10   :  5512
     miner 5    :  5513
     miner 8    :  5513
B10:
recieved miner in round
     miner 9    :  6103
     miner 0    :  6103
     miner 1    :  6103
     miner 2    :  6103
     miner 3    :  6103
     miner 4    :  6103
     miner 5    :  6103
     miner 6    :  6103
     miner 7    :  6103
     miner 8    :  6103
     miner 10   :  6103
     miner 11   :  6103
     miner 12   :  6103
     miner 13   :  6103
     miner 14   :  6104
     miner 15   :  6104
B11:
recieved miner in round
     miner 5    :  6729
     miner 1    :  6729
     miner 2    :  6729
     miner 3    :  6729
     miner 6    :  6729
     miner 7    :  6729
     miner 8    :  6729
     miner 9    :  6729
     miner 10   :  6729
     miner 12   :  6729
     miner 13   :  6729
     miner 15   :  6729
     miner 0    :  6730
     miner 4    :  6730
     miner 11   :  6730
     miner 14   :  6730
B12:
recieved miner in round
     miner 14   :  7370
     miner 0    :  7370
     miner 2    :  7370
     miner 3    :  7370
     miner 4    :  7370
     miner 5    :  7370
     miner 6    :  7370
     miner 7    :  7370
     miner 8    :  7370
     miner 9    :  7370
     miner 11   :  7370
     miner 12   :  7370
     miner 13   :  7370
     miner 15   :  7370
     miner 1    :  7371
     miner 10   :  7371
B13:
recieved miner in round
     miner 11   :  7974
     miner 0    :  7974
     miner 1    :  7974
     miner 3    :  7974
     miner 5    :  7974
     miner 7    :  7974
     miner 8    :  7974
     miner 9    :  7974
     miner 10   :  7974
     miner 12   :  7974
     miner 13   :  7974
     miner 14   :  7974
     miner 15   :  7974
     miner 2    :  7975
     miner 4    :  7975
     miner 6    :  7975
B14:
recieved miner in round
     miner 1    :  8587
     miner 0    :  8587
     miner 2    :  8587
     miner 3    :  8587
     miner 4    :  8587
     miner 5    :  8587
     miner 7    :  8587
     miner 8    :  8587
     miner 9    :  8587
     miner 10   :  8587
     miner 11   :  8587
     miner 13   :  8587
     miner 15   :  8587
     miner 6    :  8588
     miner 12   :  8588
     miner 14   :  8588
B15:
recieved miner in round
     miner 3    :  9178
     miner 0    :  9178
     miner 1    :  9178
     miner 4    :  9178
     miner 5    :  9178
     miner 6    :  9178
     miner 7    :  9178
     miner 8    :  9178
     miner 9    :  9178
     miner 10   :  9178
     miner 11   :  9178
     miner 13   :  9178
     miner 14   :  9178
     miner 15   :  9178
     miner 2    :  9179
     miner 12   :  9179
B16:
recieved miner in round
     miner 3    :  9821
     miner 1    :  9821
     miner 2    :  9821
     miner 4    :  9821
     miner 5    :  9821
     miner 6    :  9821
     miner 7    :  9821
     miner 8    :  9821
     miner 9    :  9821
     miner 10   :  9821
     miner 11   :  9821
     miner 13   :  9821
     miner 14   :  9821
     miner 15   :  9821
     miner 0    :  9822
     miner 12   :  9822
B17:
recieved miner in round
     miner 15   :  10417
     miner 3    :  10417
     miner 4    :  10417
     miner 5    :  10417
     miner 6    :  10417
     miner 7    :  10417
     miner 8    :  10417
     miner 9    :  10417
     miner 10   :  10417
     miner 11   :  10417
     miner 0    :  10418
     miner 1    :  10418
     miner 2    :  10418
     miner 12   :  10418
     miner 13   :  10418
     miner 14   :  10418
B18:
recieved miner in round
     miner 10   :  11022
     miner 0    :  11022
     miner 1    :  11022
     miner 2    :  11022
     miner 3    :  11022
     miner 5    :  11022
     miner 6    :  11022
     miner 7    :  11022
     miner 8    :  11022
     miner 9    :  11022
     miner 11   :  11022
     miner 13   :  11022
     miner 14   :  11022
     miner 4    :  11023
     miner 12   :  11023
     miner 15   :  11023
B19:
recieved miner in round
     miner 0    :  11623
     miner 1    :  11623
     miner 2    :  11623
     miner 3    :  11623
     miner 4    :  11623
     miner 6    :  11623
     miner 7    :  11623
     miner 8    :  11623
     miner 9    :  11623
     miner 10   :  11623
     miner 11   :  11623
     miner 12   :  11623
     miner 13   :  11623
     miner 14   :  11623
     miner 15   :  11623
     miner 5    :  11624
B20:
recieved miner in round
     miner 1    :  12207
     miner 0    :  12207
     miner 2    :  12207
     miner 3    :  12207
     miner 4    :  12207
     miner 6    :  12207
     miner 10   :  12207
     miner 11   :  12207
     miner 12   :  12207
     miner 13   :  12207
     miner 14   :  12207
     miner 15   :  12207
     miner 5    :  12208
     miner 7    :  12208
     miner 8    :  12208
     miner 9    :  12208
B21:
recieved miner in round
     miner 1    :  12799
     miner 0    :  12799
     miner 2    :  12799
     miner 3    :  12799
     miner 5    :  12799
     miner 6    :  12799
     miner 7    :  12799
     miner 9    :  12799
     miner 10   :  12799
     miner 11   :  12799
     miner 12   :  12799
     miner 13   :  12799
     miner 14   :  12799
     miner 15   :  12799
     miner 4    :  12800
     miner 8    :  12800
B22:
recieved miner in round
     miner 10   :  13413
     miner 0    :  13413
     miner 2    :  13413
     miner 3    :  13413
     miner 7    :  13413
     miner 8    :  13413
     miner 9    :  13413
     miner 11   :  13413
     miner 12   :  13413
     miner 14   :  13413
     miner 1    :  13414
     miner 4    :  13414
     miner 5    :  13414
     miner 6    :  13414
     miner 13   :  13415
     miner 15   :  13415
B23:
recieved miner in round
     miner 3    :  14016
     miner 1    :  14016
     miner 2    :  14016
     miner 4    :  14016
     miner 5    :  14016
     miner 6    :  14016
     miner 7    :  14016
     miner 11   :  14016
     miner 12   :  14016
     miner 13   :  14016
     miner 14   :  14016
     miner 15   :  14016
     miner 0    :  14017
     miner 8    :  14017
     miner 9    :  14017
     miner 10   :  14017
B24:
recieved miner in round
     miner 11   :  14601
     miner 0    :  14601
     miner 1    :  14601
     miner 3    :  14601
     miner 5    :  14601
     miner 8    :  14601
     miner 10   :  14601
     miner 13   :  14601
     miner 14   :  14601
     miner 15   :  14601
     miner 2    :  14602
     miner 4    :  14602
     miner 6    :  14602
     miner 7    :  14602
     miner 9    :  14602
     miner 12   :  14602
B25:
recieved miner in round
     miner 4    :  15188
     miner 0    :  15188
     miner 1    :  15188
     miner 2    :  15188
     miner 3    :  15188
     miner 5    :  15188
     miner 6    :  15188
     miner 7    :  15188
     miner 8    :  15188
     miner 9    :  15188
     miner 11   :  15188
     miner 14   :  15188
     miner 15   :  15188
     miner 10   :  15189
     miner 12   :  15189
     miner 13   :  15189
B26:
recieved miner in round
     miner 15   :  15777
     miner 0    :  15777
     miner 2    :  15777
     miner 3    :  15777
     miner 4    :  15777
     miner 5    :  15777
     miner 6    :  15777
     miner 7    :  15777
     miner 8    :  15777
     miner 9    :  15777
     miner 10   :  15777
     miner 11   :  15777
     miner 12   :  15777
     miner 13   :  15777
     miner 1    :  15778
     miner 14   :  15778
B27:
recieved miner in round
     miner 0    :  16365
     miner 1    :  16365
     miner 2    :  16365
     miner 3    :  16365
     miner 4    :  16365
     miner 5    :  16365
     miner 6    :  16365
     miner 7    :  16365
     miner 8    :  16365
     miner 9    :  16365
     miner 11   :  16365
     miner 12   :  16365
     miner 13   :  16365
     miner 14   :  16365
     miner 15   :  16365
     miner 10   :  16366
B28:
recieved miner in round
     miner 10   :  16960
     miner 0    :  16960
     miner 1    :  16960
     miner 2    :  16960
     miner 3    :  16960
     miner 5    :  16960
     miner 6    :  16960
     miner 7    :  16960
     miner 8    :  16960
     miner 12   :  16960
     miner 13   :  16960
     miner 14   :  16960
     miner 15   :  16960
     miner 4    :  16961
     miner 9    :  16961
     miner 11   :  16961
B29:
recieved miner in round
     miner 14   :  17572
     miner 0    :  17572
     miner 1    :  17572
     miner 2    :  17572
     miner 3    :  17572
     miner 4    :  17572
     miner 5    :  17572
     miner 6    :  17572
     miner 7    :  17572
     miner 8    :  17572
     miner 10   :  17572
     miner 12   :  17572
     miner 13   :  17572
     miner 9    :  17573
     miner 11   :  17573
     miner 15   :  17573
B30:
recieved miner in round
     miner 7    :  18156
     miner 0    :  18156
     miner 1    :  18156
     miner 2    :  18156
     miner 3    :  18156
     miner 4    :  18156
     miner 6    :  18156
     miner 9    :  18156
     miner 10   :  18156
     miner 11   :  18156
     miner 12   :  18156
     miner 13   :  18156
     miner 15   :  18156
     miner 8    :  18157
     miner 14   :  18157
     miner 5    :  18158
B31:
recieved miner in round
     miner 0    :  18760
     miner 1    :  18760
     miner 2    :  18760
     miner 3    :  18760
     miner 4    :  18760
     miner 5    :  18760
     miner 6    :  18760
     miner 7    :  18760
     miner 8    :  18760
     miner 9    :  18760
     miner 10   :  18760
     miner 11   :  18760
     miner 12   :  18760
     miner 14   :  18760
     miner 15   :  18760
     miner 13   :  18761
B32:
recieved miner in round
     miner 9    :  19365
     miner 0    :  19365
     miner 1    :  19365
     miner 2    :  19365
     miner 3    :  19365
     miner 4    :  19365
     miner 5    :  19365
     miner 6    :  19365
     miner 8    :  19365
     miner 10   :  19365
     miner 12   :  19365
     miner 13   :  19365
     miner 14   :  19365
     miner 15   :  19365
     miner 7    :  19366
     miner 11   :  19366
B33:
recieved miner in round
     miner 1    :  19973
     miner 0    :  19973
     miner 2    :  19973
     miner 4    :  19973
     miner 5    :  19973
     miner 6    :  19973
     miner 9    :  19973
     miner 10   :  19973
     miner 11   :  19973
     miner 12   :  19973
     miner 15   :  19973
     miner 3    :  19974
     miner 7    :  19974
     miner 13   :  19974
     miner 14   :  19974
     miner 8    :  19975
B34:
recieved miner in round
     miner 1    :  20560
     miner 0    :  20560
     miner 2    :  20560
     miner 3    :  20560
     miner 6    :  20560
     miner 8    :  20560
     miner 9    :  20560
     miner 10   :  20560
     miner 12   :  20560
     miner 14   :  20560
     miner 4    :  20561
     miner 5    :  20561
     miner 7    :  20561
     miner 11   :  20561
     miner 15   :  20561
     miner 13   :  20562
B35:
recieved miner in round
     miner 0    :  21153
     miner 1    :  21153
     miner 2    :  21153
     miner 4    :  21153
     miner 5    :  21153
     miner 7    :  21153
     miner 10   :  21153
     miner 11   :  21153
     miner 12   :  21153
     miner 13   :  21153
     miner 14   :  21153
     miner 15   :  21153
     miner 3    :  21154
     miner 6    :  21154
     miner 8    :  21154
     miner 9    :  21154
B36:
recieved miner in round
     miner 15   :  21770
     miner 0    :  21770
     miner 1    :  21770
     miner 3    :  21770
     miner 4    :  21770
     miner 6    :  21770
     miner 7    :  21770
     miner 8    :  21770
     miner 9    :  21770
     miner 11   :  21770
     miner 12   :  21770
     miner 13   :  21770
     miner 14   :  21770
     miner 2    :  21771
     miner 10   :  21771
     miner 5    :  21772
B37:
recieved miner in round
     miner 4    :  22423
     miner 0    :  22423
     miner 2    :  22423
     miner 7    :  22423
     miner 8    :  22423
     miner 9    :  22423
     miner 11   :  22423
     miner 12   :  22423
     miner 13   :  22423
     miner 14   :  22423
     miner 15   :  22423
     miner 1    :  22424
     miner 3    :  22424
     miner 5    :  22424
     miner 10   :  22424
     miner 6    :  22425
B38:
recieved miner in round
     miner 4    :  23050
     miner 0    :  23050
     miner 2    :  23050
     miner 3    :  23050
     miner 5    :  23050
     miner 6    :  23050
     miner 7    :  23050
     miner 11   :  23050
     miner 12   :  23050
     miner 13   :  23050
     miner 14   :  23050
     miner 15   :  23050
     miner 1    :  23051
     miner 8    :  23051
