B1:
recieved miner in round
     miner 8    :  84
     miner 0    :  84
     miner 1    :  84
     miner 2    :  84
     miner 3    :  84
     miner 4    :  84
     miner 5    :  84
     miner 6    :  84
     miner 7    :  84
     miner 9    :  84
B2:
recieved miner in round
     miner 8    :  167
     miner 0    :  167
     miner 2    :  167
     miner 3    :  167
     miner 4    :  167
     miner 5    :  167
     miner 6    :  167
     miner 7    :  167
     miner 9    :  167
     miner 1    :  168
B3:
recieved miner in round
     miner 1    :  251
     miner 2    :  251
     miner 3    :  251
     miner 4    :  251
     miner 5    :  251
     miner 7    :  251
     miner 8    :  251
     miner 9    :  251
     miner 0    :  252
     miner 6    :  252
B4:
recieved miner in round
     miner 7    :  334
     miner 0    :  334
     miner 1    :  334
     miner 2    :  334
     miner 3    :  334
     miner 4    :  334
     miner 5    :  334
     miner 6    :  334
     miner 8    :  334
     miner 9    :  335
B5:
recieved miner in round
     miner 8    :  423
     miner 0    :  423
     miner 1    :  423
     miner 2    :  423
     miner 3    :  423
     miner 7    :  423
     miner 9    :  423
     miner 4    :  424
     miner 6    :  424
     miner 5    :  425
B6:
recieved miner in round
     miner 1    :  507
     miner 0    :  507
     miner 3    :  507
     miner 5    :  507
     miner 7    :  507
     miner 8    :  507
     miner 9    :  507
     miner 2    :  508
     miner 4    :  508
     miner 6    :  508
B7:
recieved miner in round
     miner 8    :  593
     miner 0    :  593
     miner 1    :  593
     miner 2    :  593
     miner 3    :  593
     miner 4    :  593
     miner 5    :  593
     miner 6    :  593
     miner 7    :  593
     miner 9    :  593
B8:
recieved miner in round
     miner 7    :  676
     miner 0    :  676
     miner 2    :  676
     miner 3    :  676
     miner 4    :  676
     miner 5    :  676
     miner 6    :  676
     miner 8    :  676
     miner 9    :  676
     miner 1    :  677
B9:
recieved miner in round
     miner 3    :  762
     miner 0    :  762
     miner 1    :  762
     miner 2    :  762
     miner 6    :  762
     miner 7    :  762
     miner 8    :  762
     miner 9    :  762
     miner 4    :  763
     miner 5    :  763
B10:
recieved miner in round
     miner 0    :  847
     miner 1    :  847
     miner 2    :  847
     miner 3    :  847
     miner 4    :  847
     miner 6    :  847
     miner 7    :  847
     miner 8    :  847
     miner 9    :  847
     miner 5    :  849
B11:
recieved miner in round
     miner 4    :  934
     miner 0    :  934
     miner 1    :  934
     miner 2    :  934
     miner 3    :  934
     miner 5    :  934
     miner 6    :  934
     miner 8    :  934
     miner 9    :  934
     miner 7    :  935
B12:
recieved miner in round
     miner 2    :  1019
     miner 0    :  1019
     miner 4    :  1019
     miner 5    :  1019
     miner 7    :  1019
     miner 8    :  1019
     miner 9    :  1019
     miner 1    :  1020
     miner 6    :  1020
     miner 3    :  1021
B13:
recieved miner in round
     miner 4    :  1102
     miner 0    :  1102
     miner 2    :  1102
     miner 3    :  1102
     miner 5    :  1102
     miner 7    :  1102
     miner 9    :  1102
     miner 1    :  1103
     miner 6    :  1103
     miner 8    :  1103
B14:
recieved miner in round
     miner 5    :  1195
     miner 0    :  1195
     miner 1    :  1195
     miner 2    :  1195
     miner 3    :  1195
     miner 4    :  1195
     miner 6    :  1195
     miner 8    :  1195
     miner 9    :  1195
     miner 7    :  1196
B15:
recieved miner in round
     miner 0    :  1279
     miner 2    :  1279
     miner 3    :  1279
     miner 4    :  1279
     miner 5    :  1279
     miner 7    :  1279
     miner 8    :  1279
     miner 9    :  1279
     miner 1    :  1280
     miner 6    :  1280
B16:
recieved miner in round
     miner 7    :  1364
     miner 0    :  1364
     miner 1    :  1364
     miner 2    :  1364
     miner 6    :  1364
     miner 8    :  1364
     miner 9    :  1364
     miner 4    :  1365
     miner 3    :  1366
     miner 5    :  1366
B17:
recieved miner in round
     miner 6    :  1451
     miner 0    :  1451
     miner 1    :  1451
     miner 2    :  1451
     miner 3    :  1451
     miner 4    :  1451
     miner 5    :  1451
     miner 7    :  1451
     miner 8    :  1452
     miner 9    :  1452
B18:
recieved miner in round
     miner 7    :  1534
     miner 0    :  1534
     miner 1    :  1534
     miner 3    :  1534
     miner 4    :  1534
     miner 5    :  1534
     miner 6    :  1534
     miner 8    :  1534
     miner 9    :  1534
     miner 2    :  1535
B19:
recieved miner in round
     miner 4    :  1622
     miner 0    :  1622
     miner 1    :  1622
     miner 2    :  1622
     miner 3    :  1622
     miner 5    :  1622
     miner 6    :  1622
     miner 8    :  1622
     miner 9    :  1622
     miner 7    :  1623
B20:
recieved miner in round
     miner 3    :  1717
     miner 0    :  1717
     miner 1    :  1717
     miner 2    :  1717
     miner 4    :  1717
     miner 5    :  1717
     miner 7    :  1717
     miner 9    :  1717
     miner 6    :  1718
     miner 8    :  1718
B21:
recieved miner in round
     miner 9    :  1800
     miner 0    :  1800
     miner 1    :  1800
     miner 2    :  1800
     miner 3    :  1800
     miner 4    :  1800
     miner 5    :  1800
     miner 6    :  1800
     miner 7    :  1800
     miner 8    :  1800
B22:
recieved miner in round
     miner 7    :  1888
     miner 0    :  1888
     miner 1    :  1888
     miner 3    :  1888
     miner 4    :  1888
     miner 5    :  1888
     miner 6    :  1888
     miner 8    :  1888
     miner 9    :  1888
     miner 2    :  1889
B23:
recieved miner in round
     miner 5    :  1982
     miner 0    :  1982
     miner 1    :  1982
