B1:
recieved miner in round
     miner 13   :  458
     miner 0    :  458
     miner 1    :  458
     miner 2    :  458
     miner 3    :  458
     miner 4    :  458
     miner 5    :  458
     miner 6    :  458
     miner 7    :  458
     miner 9    :  458
     miner 10   :  458
     miner 12   :  458
     miner 14   :  458
     miner 8    :  459
     miner 11   :  459
     miner 15   :  459
B2:
recieved miner in round
     miner 14   :  883
     miner 0    :  883
     miner 1    :  883
     miner 2    :  883
     miner 3    :  883
     miner 4    :  883
     miner 6    :  883
     miner 7    :  883
     miner 9    :  883
     miner 10   :  883
     miner 11   :  883
     miner 12   :  883
     miner 13   :  883
     miner 15   :  883
     miner 8    :  884
     miner 5    :  885
B3:
recieved miner in round
     miner 9    :  1310
     miner 0    :  1310
     miner 1    :  1310
     miner 2    :  1310
     miner 3    :  1310
     miner 4    :  1310
     miner 5    :  1310
     miner 6    :  1310
     miner 7    :  1310
     miner 10   :  1310
     miner 11   :  1310
     miner 12   :  1310
     miner 13   :  1310
     miner 14   :  1310
     miner 15   :  1310
     miner 8    :  1311
B4:
recieved miner in round
     miner 4    :  1743
     miner 0    :  1743
     miner 1    :  1743
     miner 2    :  1743
     miner 3    :  1743
     miner 5    :  1743
     miner 6    :  1743
     miner 7    :  1743
     miner 9    :  1743
     miner 10   :  1743
     miner 11   :  1743
     miner 13   :  1743
     miner 14   :  1743
     miner 15   :  1743
     miner 8    :  1744
     miner 12   :  1744
B5:
recieved miner in round
     miner 3    :  2190
     miner 0    :  2190
     miner 2    :  2190
     miner 4    :  2190
     miner 7    :  2190
     miner 8    :  2190
     miner 10   :  2190
     miner 11   :  2190
     miner 12   :  2190
     miner 13   :  2190
     miner 14   :  2190
     miner 1    :  2191
     miner 5    :  2191
     miner 6    :  2191
     miner 9    :  2191
     miner 15   :  2191
B6:
recieved miner in round
     miner 8    :  2609
     miner 0    :  2609
     miner 2    :  2609
     miner 3    :  2609
     miner 4    :  2609
     miner 5    :  2609
     miner 6    :  2609
     miner 7    :  2609
     miner 9    :  2609
     miner 10   :  2609
     miner 12   :  2609
     miner 13   :  2609
     miner 14   :  2609
     miner 1    :  2610
     miner 11   :  2610
     miner 15   :  2610
B7:
recieved miner in round
     miner 12   :  3032
     miner 0    :  3032
     miner 1    :  3032
     miner 2    :  3032
     miner 3    :  3032
     miner 8    :  3032
     miner 9    :  3032
     miner 10   :  3032
     miner 11   :  3032
     miner 13   :  3032
     miner 14   :  3032
     miner 15   :  3032
     miner 4    :  3033
     miner 5    :  3033
     miner 6    :  3033
     miner 7    :  3033
B8:
recieved miner in round
     miner 4    :  3487
     miner 0    :  3487
     miner 1    :  3487
     miner 2    :  3487
     miner 3    :  3487
     miner 5    :  3487
     miner 6    :  3487
     miner 8    :  3487
     miner 9    :  3487
     miner 10   :  3487
     miner 11   :  3487
     miner 12   :  3487
     miner 13   :  3487
     miner 14   :  3487
     miner 15   :  3487
     miner 7    :  3488
B9:
recieved miner in round
     miner 11   :  3920
     miner 0    :  3920
     miner 1    :  3920
     miner 2    :  3920
     miner 3    :  3920
     miner 5    :  3920
     miner 6    :  3920
     miner 8    :  3920
     miner 9    :  3920
     miner 10   :  3920
     miner 12   :  3920
     miner 13   :  3920
     miner 14   :  3920
     miner 15   :  3920
     miner 4    :  3921
     miner 7    :  3921
B10:
recieved miner in round
     miner 0    :  4343
     miner 1    :  4343
     miner 2    :  4343
     miner 3    :  4343
     miner 4    :  4343
     miner 6    :  4343
     miner 7    :  4343
     miner 8    :  4343
     miner 9    :  4343
     miner 10   :  4343
     miner 12   :  4343
     miner 14   :  4343
     miner 15   :  4343
     miner 5    :  4344
     miner 11   :  4344
     miner 13   :  4344
B11:
recieved miner in round
     miner 12   :  4773
     miner 0    :  4773
     miner 2    :  4773
     miner 3    :  4773
     miner 4    :  4773
     miner 5    :  4773
     miner 6    :  4773
     miner 7    :  4773
     miner 8    :  4773
     miner 11   :  4773
     miner 13   :  4773
     miner 14   :  4773
     miner 15   :  4773
     miner 1    :  4774
     miner 9    :  4774
     miner 10   :  4774
B12:
recieved miner in round
     miner 11   :  5194
     miner 0    :  5194
     miner 1    :  5194
     miner 2    :  5194
     miner 3    :  5194
     miner 4    :  5194
     miner 5    :  5194
     miner 6    :  5194
     miner 7    :  5194
     miner 8    :  5194
     miner 9    :  5194
     miner 10   :  5194
     miner 12   :  5194
     miner 13   :  5194
     miner 14   :  5194
     miner 15   :  5195
B13:
recieved miner in round
     miner 15   :  5195
     miner 1    :  5195
     miner 3    :  5195
     miner 4    :  5195
     miner 5    :  5195
     miner 6    :  5195
     miner 7    :  5195
     miner 8    :  5195
     miner 9    :  5195
     miner 10   :  5195
     miner 12   :  5195
     miner 13   :  5195
     miner 2    :  5196
     miner 0    :  5197
     miner 11   :  5197
     miner 14   :  5197
B14:
recieved miner in round
     miner 6    :  5627
     miner 0    :  5627
     miner 1    :  5627
     miner 2    :  5627
     miner 3    :  5627
     miner 4    :  5627
     miner 5    :  5627
     miner 7    :  5627
     miner 8    :  5627
     miner 9    :  5627
     miner 10   :  5627
     miner 11   :  5627
     miner 12   :  5627
     miner 13   :  5627
     miner 14   :  5627
     miner 15   :  5627
B15:
recieved miner in round
     miner 10   :  6066
     miner 0    :  6066
     miner 1    :  6066
     miner 3    :  6066
     miner 5    :  6066
     miner 6    :  6066
     miner 7    :  6066
     miner 11   :  6066
     miner 13   :  6066
     miner 14   :  6066
     miner 15   :  6066
     miner 2    :  6067
     miner 4    :  6067
     miner 8    :  6067
     miner 9    :  6067
     miner 12   :  6067
B16:
recieved miner in round
     miner 14   :  6512
     miner 0    :  6512
     miner 1    :  6512
     miner 2    :  6512
     miner 3    :  6512
     miner 4    :  6512
     miner 5    :  6512
     miner 7    :  6512
     miner 8    :  6512
     miner 9    :  6512
     miner 11   :  6512
     miner 12   :  6512
     miner 13   :  6512
     miner 15   :  6512
     miner 6    :  6513
     miner 10   :  6514
B17:
recieved miner in round
     miner 8    :  6931
     miner 0    :  6931
     miner 1    :  6931
     miner 2    :  6931
     miner 3    :  6931
     miner 4    :  6931
     miner 6    :  6931
     miner 7    :  6931
     miner 9    :  6931
     miner 11   :  6931
     miner 12   :  6931
     miner 14   :  6931
     miner 15   :  6931
     miner 5    :  6932
     miner 10   :  6932
     miner 13   :  6932
B18:
recieved miner in round
     miner 9    :  7362
     miner 0    :  7362
     miner 1    :  7362
     miner 4    :  7362
     miner 5    :  7362
     miner 6    :  7362
     miner 7    :  7362
     miner 8    :  7362
     miner 10   :  7362
     miner 11   :  7362
     miner 12   :  7362
     miner 13   :  7362
     miner 14   :  7362
     miner 15   :  7362
     miner 2    :  7363
     miner 3    :  7363
B19:
recieved miner in round
     miner 13   :  7804
     miner 0    :  7804
     miner 1    :  7804
     miner 2    :  7804
     miner 3    :  7804
     miner 4    :  7804
     miner 5    :  7804
     miner 6    :  7804
     miner 8    :  7804
     miner 10   :  7804
     miner 11   :  7804
     miner 12   :  7804
     miner 15   :  7804
     miner 7    :  7805
     miner 9    :  7805
     miner 14   :  7805
B20:
recieved miner in round
     miner 7    :  8230
     miner 0    :  8230
     miner 2    :  8230
     miner 3    :  8230
     miner 4    :  8230
     miner 5    :  8230
     miner 6    :  8230
     miner 9    :  8230
     miner 11   :  8230
     miner 12   :  8230
     miner 14   :  8230
     miner 15   :  8230
     miner 1    :  8231
     miner 8    :  8231
     miner 10   :  8231
     miner 13   :  8231
B21:
recieved miner in round
     miner 5    :  8653
     miner 0    :  8653
     miner 1    :  8653
     miner 2    :  8653
     miner 3    :  8653
     miner 4    :  8653
     miner 6    :  8653
     miner 7    :  8653
     miner 9    :  8653
     miner 10   :  8653
     miner 12   :  8653
     miner 14   :  8653
     miner 15   :  8653
     miner 8    :  8654
     miner 11   :  8654
     miner 13   :  8654
B22:
recieved miner in round
     miner 5    :  9073
     miner 0    :  9073
     miner 1    :  9073
     miner 2    :  9073
     miner 3    :  9073
     miner 6    :  9073
     miner 7    :  9073
     miner 8    :  9073
     miner 9    :  9073
     miner 10   :  9073
     miner 12   :  9073
     miner 15   :  9073
     miner 4    :  9074
     miner 11   :  9074
     miner 14   :  9074
     miner 13   :  9075
B23:
recieved miner in round
