B1:
recieved miner in round
     miner 0    :  668
     miner 1    :  668
     miner 2    :  668
     miner 3    :  668
     miner 4    :  668
     miner 6    :  668
     miner 7    :  668
     miner 9    :  668
     miner 5    :  669
     miner 8    :  669
B2:
recieved miner in round
     miner 1    :  1353
     miner 3    :  1353
     miner 4    :  1353
     miner 5    :  1353
     miner 7    :  1353
     miner 8    :  1353
     miner 9    :  1353
     miner 0    :  1354
     miner 2    :  1354
     miner 6    :  1355
B3:
recieved miner in round
     miner 0    :  2068
     miner 1    :  2068
     miner 3    :  2068
     miner 4    :  2068
     miner 5    :  2068
     miner 6    :  2068
     miner 7    :  2068
     miner 9    :  2068
     miner 2    :  2069
     miner 8    :  2069
B4:
recieved miner in round
     miner 6    :  2735
     miner 0    :  2735
     miner 1    :  2735
     miner 2    :  2735
     miner 4    :  2735
     miner 5    :  2735
     miner 7    :  2735
     miner 3    :  2736
     miner 8    :  2736
     miner 9    :  2736
B5:
recieved miner in round
     miner 2    :  3521
     miner 0    :  3521
     miner 1    :  3521
     miner 3    :  3521
     miner 4    :  3521
     miner 5    :  3521
     miner 6    :  3521
     miner 7    :  3521
     miner 8    :  3521
     miner 9    :  3521
B6:
recieved miner in round
     miner 2    :  4283
     miner 0    :  4283
     miner 1    :  4283
     miner 3    :  4283
     miner 4    :  4283
     miner 5    :  4283
     miner 6    :  4283
     miner 9    :  4283
     miner 7    :  4284
     miner 8    :  4284
B7:
recieved miner in round
     miner 5    :  5026
     miner 0    :  5026
     miner 1    :  5026
     miner 2    :  5026
     miner 3    :  5026
     miner 4    :  5026
     miner 6    :  5026
     miner 7    :  5026
     miner 8    :  5026
     miner 9    :  5026
B8:
recieved miner in round
     miner 1    :  5736
     miner 5    :  5736
     miner 7    :  5736
     miner 8    :  5736
     miner 9    :  5736
     miner 0    :  5737
     miner 2    :  5737
     miner 3    :  5737
     miner 4    :  5737
     miner 6    :  5737
B9:
recieved miner in round
     miner 8    :  6430
     miner 0    :  6430
     miner 1    :  6430
     miner 5    :  6430
     miner 6    :  6430
     miner 7    :  6430
     miner 9    :  6430
     miner 2    :  6431
     miner 3    :  6431
     miner 4    :  6431
B10:
recieved miner in round
     miner 0    :  7162
     miner 1    :  7162
     miner 2    :  7162
     miner 3    :  7162
     miner 5    :  7162
     miner 6    :  7162
     miner 7    :  7162
     miner 8    :  7162
     miner 9    :  7162
     miner 4    :  7163
B11:
recieved miner in round
     miner 8    :  7889
     miner 0    :  7889
     miner 1    :  7889
     miner 3    :  7889
     miner 6    :  7889
     miner 7    :  7889
     miner 9    :  7889
     miner 2    :  7890
     miner 4    :  7890
     miner 5    :  7890
B12:
recieved miner in round
     miner 5    :  8691
     miner 2    :  8691
     miner 3    :  8691
     miner 4    :  8691
     miner 6    :  8691
     miner 7    :  8691
     miner 8    :  8691
     miner 9    :  8691
     miner 0    :  8692
     miner 1    :  8692
B13:
recieved miner in round
     miner 7    :  9374
     miner 1    :  9374
     miner 2    :  9374
     miner 3    :  9374
     miner 4    :  9374
     miner 5    :  9374
     miner 6    :  9374
     miner 9    :  9374
     miner 0    :  9375
     miner 8    :  9375
B14:
recieved miner in round
     miner 6    :  10057
     miner 0    :  10057
     miner 1    :  10057
     miner 2    :  10057
     miner 4    :  10057
     miner 5    :  10057
     miner 7    :  10057
     miner 9    :  10057
     miner 3    :  10058
     miner 8    :  10058
B15:
recieved miner in round
     miner 0    :  10741
     miner 1    :  10741
     miner 2    :  10741
     miner 3    :  10741
     miner 4    :  10741
     miner 6    :  10741
     miner 7    :  10741
     miner 8    :  10741
     miner 5    :  10742
     miner 9    :  10742
B16:
recieved miner in round
     miner 5    :  11429
     miner 2    :  11429
     miner 3    :  11429
     miner 4    :  11429
     miner 6    :  11429
     miner 7    :  11429
     miner 8    :  11429
     miner 9    :  11429
     miner 0    :  11430
     miner 1    :  11430
B17:
recieved miner in round
     miner 1    :  12136
     miner 0    :  12136
     miner 2    :  12136
     miner 3    :  12136
     miner 4    :  12136
     miner 5    :  12136
     miner 6    :  12136
     miner 8    :  12136
     miner 7    :  12137
     miner 9    :  12137
B18:
recieved miner in round
     miner 3    :  12836
     miner 0    :  12836
     miner 1    :  12836
     miner 2    :  12836
     miner 5    :  12836
     miner 6    :  12836
     miner 7    :  12836
     miner 9    :  12836
     miner 4    :  12837
     miner 8    :  12837
B19:
recieved miner in round
     miner 3    :  13529
     miner 0    :  13529
     miner 1    :  13529
     miner 2    :  13529
     miner 4    :  13529
     miner 5    :  13529
     miner 6    :  13529
     miner 7    :  13529
     miner 9    :  13529
     miner 8    :  13530
B20:
recieved miner in round
     miner 2    :  14204
     miner 0    :  14204
     miner 5    :  14204
     miner 6    :  14204
     miner 7    :  14204
     miner 8    :  14204
     miner 1    :  14205
     miner 3    :  14205
     miner 4    :  14205
     miner 9    :  14206
B21:
recieved miner in round
     miner 4    :  14875
     miner 0    :  14875
     miner 2    :  14875
     miner 3    :  14875
     miner 6    :  14875
     miner 7    :  14875
     miner 8    :  14875
     miner 9    :  14875
     miner 1    :  14876
     miner 5    :  14876
B22:
recieved miner in round
     miner 6    :  15618
     miner 0    :  15618
     miner 1    :  15618
     miner 2    :  15618
     miner 3    :  15618
     miner 4    :  15618
