B1:
recieved miner in round
     miner 1    :  89
     miner 2    :  89
     miner 3    :  89
     miner 4    :  89
     miner 5    :  89
     miner 6    :  89
     miner 7    :  89
     miner 8    :  89
     miner 9    :  89
     miner 0    :  90
B2:
recieved miner in round
     miner 6    :  179
     miner 0    :  179
     miner 1    :  179
     miner 2    :  179
     miner 3    :  179
     miner 5    :  179
     miner 9    :  179
     miner 4    :  180
     miner 7    :  180
     miner 8    :  180
B3:
recieved miner in round
     miner 7    :  263
     miner 2    :  263
     miner 3    :  263
     miner 5    :  263
     miner 6    :  263
     miner 9    :  263
     miner 0    :  264
     miner 1    :  264
     miner 4    :  264
     miner 8    :  264
B4:
recieved miner in round
     miner 2    :  349
     miner 0    :  349
     miner 4    :  349
     miner 5    :  349
     miner 6    :  349
     miner 7    :  349
     miner 8    :  349
     miner 9    :  349
     miner 1    :  350
     miner 3    :  350
B5:
recieved miner in round
     miner 9    :  432
     miner 0    :  432
     miner 1    :  432
     miner 2    :  432
     miner 4    :  432
     miner 5    :  432
     miner 6    :  432
     miner 7    :  432
     miner 8    :  432
     miner 3    :  433
B6:
recieved miner in round
     miner 1    :  521
     miner 3    :  521
     miner 5    :  521
     miner 6    :  521
     miner 7    :  521
     miner 8    :  521
     miner 9    :  521
     miner 0    :  522
     miner 2    :  522
     miner 4    :  523
B7:
recieved miner in round
     miner 4    :  522
     miner 0    :  522
     miner 2    :  522
     miner 3    :  522
     miner 5    :  522
     miner 6    :  522
     miner 7    :  522
     miner 8    :  522
     miner 9    :  522
     miner 1    :  524
B8:
recieved miner in round
     miner 4    :  606
     miner 1    :  606
     miner 2    :  606
     miner 3    :  606
     miner 6    :  606
     miner 7    :  606
     miner 8    :  606
     miner 9    :  606
     miner 0    :  607
     miner 5    :  607
B9:
recieved miner in round
     miner 5    :  691
     miner 0    :  691
     miner 1    :  691
     miner 2    :  691
     miner 3    :  691
     miner 4    :  691
     miner 6    :  691
     miner 8    :  691
     miner 9    :  691
     miner 7    :  693
B10:
recieved miner in round
     miner 4    :  780
     miner 0    :  780
     miner 1    :  780
     miner 2    :  780
     miner 3    :  780
     miner 5    :  780
     miner 6    :  780
     miner 7    :  780
     miner 8    :  780
     miner 9    :  781
B11:
recieved miner in round
     miner 1    :  864
     miner 0    :  864
     miner 2    :  864
     miner 3    :  864
     miner 4    :  864
     miner 5    :  864
     miner 6    :  864
     miner 8    :  864
     miner 9    :  864
     miner 7    :  865
B12:
recieved miner in round
     miner 7    :  956
     miner 0    :  956
     miner 2    :  956
     miner 3    :  956
     miner 8    :  956
     miner 9    :  956
     miner 1    :  957
     miner 4    :  957
     miner 5    :  957
     miner 6    :  957
B13:
recieved miner in round
     miner 8    :  1045
     miner 0    :  1045
     miner 1    :  1045
     miner 2    :  1045
     miner 5    :  1045
     miner 6    :  1045
     miner 7    :  1045
     miner 9    :  1045
     miner 3    :  1046
     miner 4    :  1046
B14:
recieved miner in round
     miner 5    :  1130
     miner 0    :  1130
     miner 1    :  1130
     miner 2    :  1130
     miner 3    :  1130
     miner 8    :  1130
     miner 9    :  1130
     miner 4    :  1131
     miner 6    :  1131
     miner 7    :  1131
B15:
recieved miner in round
     miner 0    :  1231
     miner 1    :  1231
     miner 2    :  1231
     miner 3    :  1231
     miner 4    :  1231
     miner 5    :  1231
     miner 6    :  1231
     miner 7    :  1231
     miner 8    :  1231
     miner 9    :  1231
B16:
recieved miner in round
     miner 0    :  1322
     miner 4    :  1322
     miner 5    :  1322
     miner 6    :  1322
     miner 8    :  1322
     miner 9    :  1322
     miner 1    :  1323
     miner 2    :  1323
     miner 3    :  1323
