B1:
recieved miner in round
     miner 0    :  342
     miner 1    :  342
     miner 3    :  342
     miner 4    :  342
     miner 5    :  342
     miner 6    :  342
     miner 7    :  342
     miner 8    :  342
     miner 9    :  342
     miner 2    :  343
B2:
recieved miner in round
     miner 3    :  677
     miner 1    :  677
     miner 2    :  677
     miner 4    :  677
     miner 5    :  677
     miner 6    :  677
     miner 7    :  677
     miner 8    :  677
     miner 9    :  677
     miner 0    :  678
B3:
recieved miner in round
     miner 5    :  1021
     miner 0    :  1021
     miner 1    :  1021
     miner 2    :  1021
     miner 3    :  1021
     miner 4    :  1021
     miner 6    :  1021
     miner 7    :  1021
     miner 8    :  1021
     miner 9    :  1021
B4:
recieved miner in round
     miner 7    :  1367
     miner 0    :  1367
     miner 3    :  1367
     miner 4    :  1367
     miner 5    :  1367
     miner 8    :  1367
     miner 1    :  1368
     miner 2    :  1368
     miner 6    :  1368
     miner 9    :  1368
B5:
recieved miner in round
     miner 9    :  1793
     miner 0    :  1793
     miner 1    :  1793
     miner 2    :  1793
     miner 4    :  1793
     miner 5    :  1793
     miner 6    :  1793
     miner 7    :  1793
     miner 8    :  1793
     miner 3    :  1794
B6:
recieved miner in round
     miner 1    :  2139
     miner 0    :  2139
     miner 2    :  2139
     miner 4    :  2139
     miner 5    :  2139
     miner 6    :  2139
     miner 7    :  2139
     miner 8    :  2139
     miner 9    :  2139
     miner 3    :  2140
B7:
recieved miner in round
     miner 8    :  2473
     miner 0    :  2473
     miner 1    :  2473
     miner 2    :  2473
     miner 4    :  2473
     miner 6    :  2473
     miner 7    :  2473
     miner 9    :  2473
     miner 3    :  2474
     miner 5    :  2474
B8:
recieved miner in round
     miner 2    :  2818
     miner 0    :  2818
     miner 1    :  2818
     miner 3    :  2818
     miner 4    :  2818
     miner 5    :  2818
     miner 6    :  2818
     miner 7    :  2818
     miner 9    :  2818
     miner 8    :  2819
B9:
recieved miner in round
     miner 7    :  3183
     miner 0    :  3183
     miner 1    :  3183
     miner 2    :  3183
     miner 3    :  3183
     miner 4    :  3183
     miner 5    :  3183
     miner 6    :  3183
     miner 9    :  3183
     miner 8    :  3184
B10:
recieved miner in round
     miner 3    :  3523
     miner 0    :  3523
     miner 1    :  3523
     miner 4    :  3523
     miner 5    :  3523
     miner 6    :  3523
     miner 7    :  3523
     miner 8    :  3523
     miner 9    :  3523
     miner 2    :  3524
B11:
recieved miner in round
     miner 2    :  3899
     miner 1    :  3899
     miner 3    :  3899
     miner 4    :  3899
     miner 5    :  3899
     miner 6    :  3899
     miner 7    :  3899
     miner 8    :  3899
     miner 0    :  3900
     miner 9    :  3900
B12:
recieved miner in round
     miner 6    :  4234
     miner 0    :  4234
     miner 1    :  4234
     miner 2    :  4234
     miner 3    :  4234
     miner 5    :  4234
     miner 7    :  4234
     miner 8    :  4234
     miner 9    :  4234
     miner 4    :  4235
B13:
recieved miner in round
     miner 6    :  4625
     miner 0    :  4625
     miner 1    :  4625
     miner 2    :  4625
     miner 3    :  4625
     miner 4    :  4625
     miner 5    :  4625
     miner 7    :  4625
     miner 8    :  4625
     miner 9    :  4625
B14:
recieved miner in round
     miner 6    :  4971
     miner 1    :  4971
     miner 2    :  4971
     miner 3    :  4971
     miner 4    :  4971
     miner 7    :  4971
     miner 8    :  4971
     miner 9    :  4971
     miner 0    :  4972
     miner 5    :  4972
B15:
recieved miner in round
     miner 3    :  5320
     miner 0    :  5320
     miner 1    :  5320
     miner 5    :  5320
     miner 6    :  5320
     miner 7    :  5320
     miner 9    :  5320
     miner 2    :  5321
     miner 4    :  5321
     miner 8    :  5321
B16:
recieved miner in round
     miner 4    :  5664
     miner 1    :  5664
     miner 2    :  5664
     miner 3    :  5664
     miner 6    :  5664
     miner 7    :  5664
     miner 8    :  5664
     miner 0    :  5665
     miner 5    :  5665
     miner 9    :  5665
B17:
recieved miner in round
     miner 8    :  6006
     miner 0    :  6006
     miner 1    :  6006
     miner 3    :  6006
     miner 4    :  6006
     miner 5    :  6006
     miner 6    :  6006
     miner 7    :  6006
     miner 9    :  6006
     miner 2    :  6007
B18:
recieved miner in round
     miner 3    :  6345
     miner 0    :  6345
     miner 1    :  6345
     miner 2    :  6345
     miner 4    :  6345
     miner 5    :  6345
     miner 6    :  6345
     miner 7    :  6345
     miner 8    :  6345
     miner 9    :  6345
B19:
recieved miner in round
     miner 6    :  6733
     miner 0    :  6733
     miner 1    :  6733
     miner 4    :  6733
     miner 5    :  6733
     miner 7    :  6733
     miner 8    :  6733
     miner 3    :  6734
     miner 9    :  6734
     miner 2    :  6735
B20:
recieved miner in round
     miner 6    :  7067
     miner 1    :  7067
     miner 2    :  7067
     miner 4    :  7067
     miner 5    :  7067
     miner 7    :  7067
     miner 8    :  7067
     miner 9    :  7067
     miner 0    :  7068
     miner 3    :  7068
B21:
recieved miner in round
     miner 6    :  7410
     miner 0    :  7410
     miner 1    :  7410
     miner 2    :  7410
     miner 3    :  7410
     miner 4    :  7410
     miner 5    :  7410
     miner 7    :  7410
     miner 8    :  7410
     miner 9    :  7411
B22:
recieved miner in round
     miner 8    :  7768
     miner 1    :  7768
     miner 5    :  7768
     miner 6    :  7768
     miner 7    :  7768
     miner 9    :  7768
     miner 0    :  7769
     miner 2    :  7769
     miner 3    :  7769
     miner 4    :  7769
B23:
recieved miner in round
     miner 9    :  8108
     miner 1    :  8108
     miner 2    :  8108
     miner 3    :  8108
     miner 4    :  8108
     miner 5    :  8108
     miner 6    :  8108
     miner 7    :  8108
     miner 8    :  8108
     miner 0    :  8110
B24:
recieved miner in round
     miner 5    :  8449
     miner 0    :  8449
     miner 1    :  8449
     miner 2    :  8449
     miner 3    :  8449
     miner 4    :  8449
     miner 6    :  8449
     miner 8    :  8449
     miner 7    :  8450
     miner 9    :  8450
B25:
recieved miner in round
     miner 2    :  8808
     miner 1    :  8808
     miner 3    :  8808
     miner 4    :  8808
     miner 5    :  8808
     miner 6    :  8808
     miner 7    :  8808
     miner 8    :  8808
     miner 0    :  8809
     miner 9    :  8810
B26:
recieved miner in round
     miner 3    :  9169
     miner 0    :  9169
     miner 1    :  9169
     miner 2    :  9169
     miner 4    :  9169
     miner 5    :  9169
     miner 6    :  9169
     miner 8    :  9169
     miner 9    :  9169
     miner 7    :  9170
B27:
recieved miner in round
     miner 3    :  9515
     miner 0    :  9515
     miner 1    :  9515
     miner 5    :  9515
     miner 6    :  9515
     miner 7    :  9515
     miner 8    :  9515
     miner 9    :  9515
     miner 2    :  9516
     miner 4    :  9516
B28:
recieved miner in round
     miner 9    :  9856
     miner 0    :  9856
     miner 1    :  9856
     miner 2    :  9856
     miner 3    :  9856
     miner 4    :  9856
     miner 5    :  9856
     miner 6    :  9856
     miner 8    :  9856
     miner 7    :  9857
B29:
recieved miner in round
     miner 1    :  10212
     miner 0    :  10212
     miner 2    :  10212
     miner 3    :  10212
     miner 4    :  10212
     miner 5    :  10212
     miner 6    :  10212
     miner 7    :  10212
     miner 9    :  10212
     miner 8    :  10213
B30:
recieved miner in round
     miner 1    :  10573
     miner 0    :  10573
     miner 2    :  10573
     miner 4    :  10573
     miner 5    :  10573
     miner 8    :  10573
     miner 9    :  10573
     miner 3    :  10574
     miner 6    :  10574
     miner 7    :  10574
B31:
recieved miner in round
     miner 8    :  10919
     miner 0    :  10919
     miner 1    :  10919
     miner 2    :  10919
     miner 3    :  10919
     miner 4    :  10919
     miner 5    :  10919
     miner 6    :  10919
     miner 7    :  10919
     miner 9    :  10920
B32:
recieved miner in round
     miner 0    :  11310
     miner 1    :  11310
     miner 2    :  11310
     miner 3    :  11310
     miner 4    :  11310
     miner 5    :  11310
     miner 6    :  11310
     miner 7    :  11310
     miner 8    :  11310
     miner 9    :  11311
B33:
recieved miner in round
     miner 8    :  11651
     miner 2    :  11651
     miner 3    :  11651
     miner 4    :  11651
     miner 5    :  11651
     miner 6    :  11651
     miner 9    :  11651
     miner 0    :  11652
     miner 1    :  11652
     miner 7    :  11652
B34:
recieved miner in round
     miner 9    :  12005
     miner 0    :  12005
     miner 1    :  12005
     miner 3    :  12005
     miner 4    :  12005
     miner 5    :  12005
     miner 6    :  12005
     miner 8    :  12005
     miner 2    :  12006
     miner 7    :  12006
B35:
recieved miner in round
     miner 3    :  12364
     miner 0    :  12364
     miner 1    :  12364
     miner 2    :  12364
     miner 4    :  12364
     miner 5    :  12364
     miner 6    :  12364
     miner 7    :  12364
     miner 8    :  12364
     miner 9    :  12364
B36:
recieved miner in round
     miner 1    :  12737
     miner 0    :  12737
     miner 2    :  12737
     miner 3    :  12737
     miner 4    :  12737
     miner 5    :  12737
     miner 6    :  12737
     miner 8    :  12737
     miner 7    :  12738
     miner 9    :  12739
B37:
recieved miner in round
     miner 6    :  13075
     miner 1    :  13075
     miner 2    :  13075
     miner 3    :  13075
     miner 4    :  13075
     miner 5    :  13075
     miner 7    :  13075
     miner 8    :  13075
     miner 9    :  13075
     miner 0    :  13076
B38:
recieved miner in round
     miner 9    :  13425
     miner 0    :  13425
     miner 1    :  13425
     miner 2    :  13425
     miner 5    :  13425
     miner 6    :  13425
     miner 8    :  13425
     miner 4    :  13426
     miner 3    :  13427
     miner 7    :  13427
B39:
recieved miner in round
     miner 2    :  13760
     miner 0    :  13760
     miner 1    :  13760
     miner 3    :  13760
     miner 5    :  13760
     miner 6    :  13760
     miner 7    :  13760
     miner 9    :  13760
     miner 4    :  13761
     miner 8    :  13761
B40:
recieved miner in round
     miner 3    :  14158
     miner 0    :  14158
     miner 1    :  14158
     miner 2    :  14158
     miner 4    :  14158
     miner 5    :  14158
     miner 6    :  14158
     miner 7    :  14158
     miner 8    :  14158
     miner 9    :  14158
B41:
recieved miner in round
     miner 4    :  14495
     miner 2    :  14495
     miner 3    :  14495
     miner 5    :  14495
     miner 6    :  14495
     miner 7    :  14495
     miner 8    :  14495
     miner 0    :  14496
     miner 1    :  14496
     miner 9    :  14496
B42:
recieved miner in round
     miner 0    :  14838
     miner 2    :  14838
     miner 4    :  14838
     miner 6    :  14838
     miner 7    :  14838
     miner 8    :  14838
     miner 9    :  14838
