B1:
recieved miner in round
     miner 4    :  622
     miner 0    :  622
     miner 1    :  622
     miner 2    :  622
     miner 3    :  622
     miner 5    :  622
     miner 7    :  622
     miner 8    :  622
     miner 9    :  622
     miner 6    :  623
B2:
recieved miner in round
     miner 3    :  1209
     miner 0    :  1209
     miner 1    :  1209
     miner 2    :  1209
     miner 4    :  1209
     miner 6    :  1209
     miner 7    :  1209
     miner 8    :  1209
     miner 9    :  1209
     miner 5    :  1210
B3:
recieved miner in round
     miner 9    :  1936
     miner 0    :  1936
     miner 1    :  1936
     miner 3    :  1936
     miner 4    :  1936
     miner 6    :  1936
     miner 7    :  1936
     miner 8    :  1936
     miner 2    :  1937
     miner 5    :  1937
B4:
recieved miner in round
     miner 7    :  2541
     miner 0    :  2541
     miner 1    :  2541
     miner 2    :  2541
     miner 3    :  2541
     miner 5    :  2541
     miner 8    :  2541
     miner 9    :  2541
     miner 4    :  2542
     miner 6    :  2542
B5:
recieved miner in round
     miner 0    :  3127
     miner 1    :  3127
     miner 2    :  3127
     miner 3    :  3127
     miner 4    :  3127
     miner 5    :  3127
     miner 6    :  3127
     miner 7    :  3127
     miner 9    :  3127
     miner 8    :  3128
B6:
recieved miner in round
     miner 9    :  3816
     miner 0    :  3816
     miner 1    :  3816
     miner 2    :  3816
     miner 4    :  3816
     miner 5    :  3816
     miner 6    :  3816
     miner 7    :  3816
     miner 8    :  3816
     miner 3    :  3817
B7:
recieved miner in round
     miner 1    :  4400
     miner 0    :  4400
     miner 2    :  4400
     miner 3    :  4400
     miner 4    :  4400
     miner 5    :  4400
     miner 6    :  4400
     miner 7    :  4400
     miner 8    :  4400
     miner 9    :  4400
B8:
recieved miner in round
     miner 6    :  5005
     miner 1    :  5005
     miner 2    :  5005
     miner 3    :  5005
     miner 4    :  5005
     miner 5    :  5005
     miner 7    :  5005
     miner 8    :  5005
     miner 9    :  5005
     miner 0    :  5006
B9:
recieved miner in round
     miner 2    :  5661
     miner 1    :  5661
     miner 3    :  5661
     miner 4    :  5661
     miner 5    :  5661
     miner 6    :  5661
     miner 7    :  5661
     miner 8    :  5661
     miner 9    :  5661
     miner 0    :  5662
B10:
recieved miner in round
     miner 1    :  6246
     miner 0    :  6246
     miner 2    :  6246
     miner 3    :  6246
     miner 4    :  6246
     miner 5    :  6246
     miner 6    :  6246
     miner 7    :  6246
     miner 8    :  6246
     miner 9    :  6246
B11:
recieved miner in round
     miner 1    :  6836
     miner 0    :  6836
     miner 3    :  6836
     miner 4    :  6836
     miner 5    :  6836
     miner 6    :  6836
     miner 8    :  6836
     miner 2    :  6837
     miner 7    :  6837
     miner 9    :  6837
B12:
recieved miner in round
     miner 0    :  7480
     miner 1    :  7480
     miner 2    :  7480
     miner 3    :  7480
     miner 4    :  7480
     miner 5    :  7480
     miner 6    :  7480
     miner 9    :  7480
     miner 7    :  7481
     miner 8    :  7481
B13:
recieved miner in round
     miner 3    :  8084
     miner 0    :  8084
     miner 1    :  8084
     miner 2    :  8084
     miner 4    :  8084
     miner 6    :  8084
     miner 7    :  8084
     miner 8    :  8084
     miner 5    :  8085
     miner 9    :  8085
B14:
recieved miner in round
     miner 3    :  8676
     miner 1    :  8676
     miner 2    :  8676
     miner 5    :  8676
     miner 6    :  8676
     miner 7    :  8676
     miner 8    :  8676
     miner 9    :  8676
     miner 0    :  8677
     miner 4    :  8677
B15:
recieved miner in round
     miner 5    :  9269
     miner 1    :  9269
     miner 2    :  9269
     miner 3    :  9269
     miner 4    :  9269
     miner 6    :  9269
     miner 7    :  9269
     miner 8    :  9269
     miner 0    :  9270
     miner 9    :  9270
B16:
recieved miner in round
     miner 3    :  9939
     miner 1    :  9939
     miner 2    :  9939
     miner 5    :  9939
     miner 6    :  9939
     miner 7    :  9939
     miner 0    :  9940
     miner 4    :  9940
     miner 8    :  9940
